uniform_number,Player_name,bat_side,batting_average,games_played,plate_appearances,at_bats,runs_scored,hits,infield_hits,infield_hit_percentage,doubles,triples,home_runs,HR_decision,total_bases,RBIs,strikeouts,walks,intentional_walks,hit_by_pitch,sacrifice_hits,sacrifice_flies,stolen_bases,caught_stealing,stolen_base_percentage,errors,passed_balls,GIDP,runners_in_scoring_position,on_base_percentage,slugging_percentage,OPS,height,weight
39,宇佐見真吾,左,.303,61,164,152,7,46,2,4.3,8,0,3,3-0-0,63,17,38,9,0,0,1,2,0,0,-,1,2,5,.344,.337,.414,0.752,181cm,95kg
42,ブライト健太,右,.239,35,51,46,3,11,1,9.1,0,0,2,1-1-0,17,3,16,5,0,0,0,0,0,0,-,0,0,0,.111,.314,.370,0.683,184cm,92kg
43,味谷大誠,左,.000,3,1,1,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,0.0,180cm,85kg
44,川越誠司,左,.268,27,75,71,4,19,3,15.8,3,0,2,2-0-0,28,7,17,4,0,0,0,0,0,0,-,1,0,2,.200,.307,.394,0.701,174cm,80kg
45,龍空,左,.159,17,45,44,1,7,0,0.0,1,0,0,-,8,2,11,1,0,0,0,0,1,0,100.0,0,0,0,.429,.178,.182,0.36,N/A,N/A
49,加藤匠馬,右,.171,86,133,123,5,21,0,0.0,3,2,0,-,28,5,41,2,0,0,8,0,0,0,-,1,0,4,.139,.184,.228,0.412,175cm,85kg
51,上林誠知,左,.191,46,102,94,6,18,6,33.3,1,1,1,0-1-0,24,3,22,7,1,0,1,0,0,0,-,0,0,0,.188,.248,.255,0.503,185cm,90kg
53,後藤駿太,左,.125,29,35,32,1,4,0,0.0,0,0,0,-,4,1,9,2,0,0,1,0,0,0,-,0,0,0,.000,.176,.125,0.301,N/A,N/A
55,細川成也,右,.292,143,600,534,59,156,13,8.3,30,0,23,15-7-1,255,67,159,60,3,5,0,1,0,1,0.0,4,0,13,.282,.368,.478,0.846,179cm,98kg
57,山浅龍之介,左,-,3,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,175cm,82kg
58,石橋康太,右,.208,11,29,24,1,5,0,0.0,2,0,0,-,7,3,7,1,1,0,3,1,0,0,-,1,0,1,.125,.231,.292,0.522,181cm,95kg
60,山本泰寛,右,.250,79,179,156,14,39,2,5.1,3,0,1,0-1-0,45,9,33,15,0,0,6,2,1,1,50.0,5,0,1,.278,.312,.288,0.601,176cm,76kg
63,板山祐太郎,左,.236,65,194,178,11,42,6,14.3,4,3,3,1-2-0,61,13,36,14,2,0,1,1,1,1,50.0,2,0,9,.211,.290,.343,0.633,180cm,88kg
66,ビシエド,右,.209,15,46,43,2,9,0,0.0,1,0,1,1-0-0,13,2,3,2,1,1,0,0,0,0,-,0,0,3,.154,.261,.302,0.563,N/A,N/A
68,福永裕基,右,.306,111,402,363,40,111,20,18.0,22,2,6,3-3-0,155,32,82,27,1,6,4,2,9,3,75.0,6,0,4,.318,.362,.427,0.789,180cm,87kg
94,ディカーソン,左,.205,32,102,88,9,18,0,0.0,4,0,3,3-0-0,31,5,19,12,2,2,0,0,1,0,100.0,0,0,2,.043,.314,.352,0.666,N/A,N/A
95,ロドリゲス,右,.130,23,59,54,3,7,2,28.6,0,0,0,-,7,1,16,2,0,0,3,0,0,0,-,4,0,0,.167,.161,.130,0.29,182cm,90kg
97,樋口正修,左,.000,6,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,1,0,100.0,0,0,0,-,.000,.000,0.0,177cm,76kg
99,カリステ,右,.261,114,393,372,30,97,9,9.3,11,1,7,3-4-0,131,36,67,15,3,0,3,3,2,2,50.0,8,0,9,.286,.287,.352,0.639,184cm,87kg
11,小笠原慎之介,左,.083,24,44,36,0,3,0,0.0,0,0,0,-,3,0,17,1,0,0,7,0,0,0,-,0,0,0,.000,.108,.083,0.191,N/A,N/A
12,田島慎二,右,-,2,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,N/A,N/A
13,橋本侑樹,左,.000,47,3,3,0,0,0,-,0,0,0,-,0,0,3,0,0,0,0,0,0,0,-,1,0,0,.000,.000,.000,0.0,180cm,80kg
16,岩嵜翔,右,-,21,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,189cm,90kg
17,柳裕也,右,.200,13,24,20,1,4,1,25.0,2,0,0,-,6,0,8,1,0,0,3,0,0,0,-,0,0,0,.250,.238,.300,0.538,180cm,85kg
18,梅津晃大,右,.111,14,19,18,1,2,0,0.0,0,0,0,-,2,0,9,0,0,0,1,0,0,0,-,0,0,0,.000,.111,.111,0.222,189cm,100kg
19,髙橋宏斗,右,.077,21,46,39,4,3,2,66.7,1,0,0,-,4,1,13,1,0,0,6,0,0,0,-,2,0,0,.091,.100,.103,0.203,186cm,86kg
20,涌井秀章,右,.045,16,24,22,1,1,0,0.0,1,0,0,-,2,0,9,1,0,0,1,0,0,0,-,1,0,1,.000,.087,.091,0.178,185cm,85kg
22,大野雄大,左,.083,9,15,12,1,1,0,0.0,0,0,0,-,1,1,7,1,0,0,2,0,0,0,-,2,0,0,.167,.154,.083,0.237,184cm,85kg
24,福谷浩司,右,.222,8,10,9,0,2,0,0.0,1,0,0,-,3,2,1,0,0,0,1,0,0,0,-,0,0,1,.250,.222,.333,0.556,183cm,93kg
31,仲地礼亜,右,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,177cm,83kg
33,祖父江大輔,左,-,28,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,0.0,175cm,75kg
34,福敬登,左,.000,13,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,0.0,181cm,98kg
38,松葉貴大,左,.208,17,30,24,1,5,1,20.0,0,0,0,-,5,2,8,0,0,0,6,0,0,0,-,0,0,0,.600,.208,.208,0.417,179cm,82kg
41,勝野昌慶,右,-,39,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,0.0,183cm,95kg
46,梅野雄吾,右,-,18,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,177cm,86kg
48,土生翔太,右,.000,7,3,3,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,0.0,180cm,93kg
50,清水達也,右,-,60,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,185cm,95kg
54,藤嶋健人,右,1.000,50,1,1,0,1,0,0.0,0,0,0,-,1,1,0,0,0,0,0,0,0,0,-,0,0,0,1.000,1.000,1.000,2.0,177cm,90kg
