uniform_number,Player_name,bat_side,batting_average,games_played,plate_appearances,at_bats,runs_scored,hits,infield_hits,infield_hit_percentage,doubles,triples,home_runs,HR_decision,total_bases,RBIs,strikeouts,walks,intentional_walks,hit_by_pitch,sacrifice_hits,sacrifice_flies,stolen_bases,caught_stealing,stolen_base_percentage,errors,passed_balls,GIDP,runners_in_scoring_position,on_base_percentage,slugging_percentage,OPS,height,weight
20,戸郷翔征,右,.051,26,56,39,1,2,0,0.0,0,0,0,-,2,2,21,1,0,0,16,0,0,0,-,1,0,1,.111,.075,.051,0.126,187cm,85kg
26,今村信貴,左,-,7,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,180cm,90kg
28,高橋礼,右,.154,11,13,13,1,2,1,50.0,0,0,0,-,2,0,5,0,0,0,0,0,0,0,-,0,0,0,.000,.154,.154,0.308,187cm,90kg
29,グリフィン,左,.100,20,35,30,0,3,0,0.0,2,0,0,-,5,2,11,0,0,0,5,0,0,0,-,0,0,0,.143,.100,.167,0.267,190cm,102kg
31,赤星優志,右,.000,21,16,12,0,0,0,-,0,0,0,-,0,1,3,0,0,0,4,0,0,0,-,0,0,0,.000,.000,.000,0.0,175cm,82kg
33,ケラー,右,-,52,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,0.0,193cm,92kg
36,馬場皐輔,右,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,180cm,97kg
41,中川皓太,左,-,15,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,183cm,86kg
45,畠世周,左,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,186cm,82kg
46,又木鉄平,左,.000,3,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,0.0,182cm,92kg
48,田中千晴,右,-,3,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,189cm,85kg
49,バルドナード,左,-,58,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,0.0,196cm,122kg
52,伊藤優輔,右,-,8,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,178cm,82kg
53,高梨雄平,左,-,51,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,0.0,175cm,86kg
58,船迫大雅,左,-,51,1,0,0,0,0,-,0,0,0,-,0,1,0,0,0,0,0,1,0,0,-,0,0,0,-,.000,-,0.0,174cm,80kg
62,横川凱,左,.250,12,8,4,0,1,0,0.0,0,0,0,-,1,1,1,0,0,0,4,0,0,0,-,1,0,0,.333,.250,.250,0.5,190cm,98kg
63,泉圭輔,右,-,35,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,188cm,82kg
64,大江竜聖,左,-,16,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,0.0,173cm,82kg
65,メンデス,左,.000,2,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,1,0,0,-,.000,.000,0.0,N/A,N/A
66,平内龍太,右,-,31,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,185cm,99kg
91,堀田賢慎,右,.111,17,11,9,0,1,0,0.0,0,0,0,-,1,0,5,0,0,0,2,0,0,0,-,0,0,0,.000,.111,.111,0.222,186cm,88kg
93,松井颯,右,-,2,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,178cm,83kg
97,井上温大,左,.143,25,34,28,1,4,3,75.0,0,0,0,-,4,2,9,1,0,0,5,0,0,0,-,0,0,0,.200,.172,.143,0.315,175cm,85kg
99,京本眞,右,-,4,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,189cm,88kg
0,赤羽由紘,右,.241,36,65,58,4,14,1,7.1,2,0,2,2-0-0,22,6,16,1,0,1,4,1,4,0,100.0,0,0,0,.188,.262,.379,0.642,176cm,83kg
0,並木秀尊,右,.233,33,49,43,15,10,0,0.0,1,0,1,0-1-0,14,5,7,1,0,0,5,0,10,0,100.0,1,0,4,.273,.250,.326,0.576,170cm,72kg
1,山田哲人,右,.226,110,385,340,38,77,3,3.9,14,1,14,8-5-1,135,39,86,36,1,5,0,4,1,0,100.0,5,0,6,.229,.306,.397,0.704,181cm,81kg
3,西川遥輝,左,.260,113,363,308,43,80,12,15.0,13,2,1,0-1-0,100,24,51,40,1,6,3,6,10,2,83.3,3,0,3,.275,.350,.325,0.675,181cm,82kg
4,丸山和郁,左,.241,96,296,253,30,61,12,19.7,7,1,0,-,70,12,49,24,1,2,17,0,4,2,66.7,3,0,2,.264,.312,.277,0.589,174cm,80kg
5,川端慎吾,左,.224,61,61,58,1,13,3,23.1,0,0,0,-,13,6,9,2,0,1,0,0,0,0,-,0,0,1,.185,.262,.224,0.486,185cm,86kg
