背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
合計,.238,143,5208,4673,402,1113,90,8.1%,186,18,71,-,1548,390,915,355,16,52,92,36,61,32,65.6%,78,7,100,.248,.297,.331,.628
0,渡部遼人,左,.182,65,81,66,6,12,1,8.3,2,0,0,-,14,7,10,6,0,1,8,0,4,5,44.4,1,0,0,.417,.260,.212,.472
1,福田周平,左,.232,69,261,228,25,53,7,13.2,6,1,1,0-1-0,64,13,26,25,1,2,6,0,7,3,70.0,0,0,1,.262,.314,.281,.594
2,若月健矢,右,.201,96,299,264,13,53,7,13.2,9,1,3,3-0-0,73,18,59,10,2,3,19,3,0,1,0.0,4,3,8,.167,.236,.277,.512
3,安達了一,右,.216,24,44,37,4,8,1,12.5,1,0,0,-,9,2,8,3,0,1,3,0,0,0,-,4,0,0,.333,.293,.243,.536
4,森友哉,左,.281,117,457,395,46,111,3,2.7,24,1,9,6-2-1,164,46,61,50,2,7,0,5,6,1,85.7,1,2,4,.294,.368,.415,.783
5,西野真弘,左,.300,89,312,280,27,84,13,15.5,6,3,1,1-0-0,99,13,26,22,0,1,8,1,3,1,75.0,4,0,3,.254,.352,.354,.706
6,宗佑磨,左,.235,97,322,289,15,68,5,7.4,12,2,1,1-0-0,87,22,31,14,1,6,11,2,3,2,60.0,8,0,8,.270,.283,.301,.584
7,西川龍馬,左,.258,138,553,519,42,134,8,6.0,25,0,7,6-1-0,180,46,97,27,1,1,2,4,11,1,91.7,3,0,11,.302,.294,.347,.641
8,ゴンザレス,両,.131,23,65,61,3,8,0,0.0,0,0,1,1-0-0,11,2,13,4,1,0,0,0,0,0,-,3,0,0,.091,.185,.180,.365
9,野口智哉,左,.111,12,30,27,4,3,0,0.0,1,0,1,0-1-0,7,1,10,1,0,2,0,0,0,1,0.0,1,0,0,.000,.200,.259,.459
10,大城滉二,右,.308,7,18,13,3,4,0,0.0,1,0,0,-,5,2,1,0,0,2,3,0,0,0,-,0,0,0,.400,.400,.385,.785
24,紅林弘太郎,右,.247,136,523,465,32,115,9,7.8,25,0,2,1-1-0,146,38,74,37,0,5,8,8,0,4,0.0,6,0,12,.262,.305,.314,.619
25,内藤鵬,右,.100,7,21,20,0,2,1,50.0,1,0,0,-,3,0,9,0,0,1,0,0,0,0,-,0,0,0,.000,.143,.150,.293
27,元謙太,右,.125,5,8,8,0,1,0,0.0,0,0,0,-,1,0,3,0,0,0,0,0,0,0,-,0,0,0,-,.125,.125,.250
30,廣岡大志,右,.194,61,119,108,11,21,0,0.0,6,0,0,-,27,5,31,10,0,0,0,1,2,0,100.0,2,0,2,.167,.261,.250,.511
31,太田椋,右,.288,91,369,333,39,96,4,4.2,16,3,6,2-4-0,136,40,66,27,0,1,4,4,4,3,57.1,7,0,10,.289,.340,.408,.748
32,福永奨,右,.182,11,23,22,1,4,0,0.0,0,0,0,-,4,0,6,1,0,0,0,0,0,0,-,0,2,1,.000,.217,.182,.399
